date,col,acc,t0,t1,t2,t3,t4,t5
8/21/2019,9,24,24,21.5,18.3,17.5,18.3,20.8
8/21/2019,10,24,24,22.2,18.7,18.3,19,21.5
8/21/2019,11,24,24,22.3,19.1,19,20,22.2
8/21/2019,12,24,24,22.8,19.7,19.8,21,23
8/21/2019,13,24,24,23.4,20.3,20.6,21.9,24.4
8/21/2019,14,24,24,23.9,20.9,21.3,22.8,25.3
8/21/2019,15,24,24,24.3,21.5,22,23.8,26.1
8/21/2019,16,24,24,24.7,21.9,22.8,24.6,27.2
8/21/2019,17,24,24,24.8,22.6,23.6,25.6,28.2
8/21/2019,18,24,24,25.2,23,24.3,26.5,29.2
8/21/2019,19,24,24,25.5,23.6,25,27.3,30.2
8/21/2019,20,24,24,25.7,24.1,25.8,28.3,31.3
8/21/2019,21,24,24,25.9,24.5,26.5,29.3,32.3
8/21/2019,22,24,24,26,25,27.2,30.3,33.3
8/21/2019,23,24,24,26.3,25.5,27.9,31.3,34.6
8/21/2019,24,24,24,26.3,25.9,28.9,32.4,35.6
8/21/2019,25,24,24,26.6,26.4,29.7,33.5,37
8/21/2019,26,24,24,26.7,27,30.6,34.6,38.3
8/21/2019,27,24,24,26.8,27.5,31.5,35.8,39.6
8/21/2019,28,24,24,26.8,28,32,36.9,40.9
8/21/2019,29,24,24,27,28.6,33.3,38.3,42.1
8/21/2019,30,24,24,27,29,34.1,39.5,43.8
8/21/2019,31,24,24,27.1,29.7,35.3,40.8,45
8/21/2019,32,24,24,27.2,30.2,36.3,42.3,46.4
8/21/2019,33,24,24,27.3,30.9,37.4,43.6,47.9
8/21/2019,34,24,24,27.3,31.6,38.4,45.5,49.8
8/21/2019,35,24,24,27.5,32.3,39.7,47,51.6
8/21/2019,36,24,24,27.5,32.8,40.7,48.6,52.7
8/21/2019,37,24,24,27.6,33.5,41.8,50.5,54.5
8/21/2019,38,24,24,27.6,34.1,42.8,51.8,56.1
8/28/2019,9,20,20,17.7,15.2,14.9,15.9,17
8/28/2019,10,20,20,18.1,15.7,15.7,16.6,17.8
8/28/2019,11,20,20,18.9,16.3,16.4,17.6,18.8
8/28/2019,12,20,20,19.5,17.1,17.2,18.5,20.1
8/28/2019,13,20,20,20,17.6,18,19.5,21.2
8/28/2019,14,20,20,20.4,18.2,18.8,20.4,22
8/28/2019,15,20,20,20.8,18.7,19.5,21.3,23.3
8/28/2019,16,20,20,21.1,19.3,20.3,22.2,24.6
8/28/2019,17,20,20,21.5,19.9,21.1,23.1,25.5
8/28/2019,18,20,20,21.8,20.4,21.9,24.2,26.9
8/28/2019,19,20,20,22,21,22.8,25.1,28
8/28/2019,20,20,20,22.3,21.4,23.4,26.4,29
8/28/2019,21,20,20,22.5,22,24.2,27.2,30.2
8/28/2019,22,20,20,22.7,22.5,25.1,28.3,31.3
8/28/2019,23,20,20,23,23.2,25.8,29.4,32.6
8/28/2019,24,20,20,23.2,23.9,27,30.7,33.9
8/28/2019,25,20,20,23.3,24.4,27.8,31.5,35.3
8/28/2019,26,20,20,23.6,25,28.8,32.8,36.6
8/28/2019,27,20,20,23.8,25.5,29.6,34.6,37.9
8/28/2019,28,20,20,23.9,26.1,30.9,36,39.3
8/28/2019,29,20,20,24.1,26.8,31.6,37,40.9
8/28/2019,30,20,20,24.4,27.5,32.6,38.4,42.5
8/28/2019,31,20,20,24.5,28.1,34,40,44
8/28/2019,32,20,20,248,28.8,34.9,41.9,45.5
8/28/2019,33,20,20,24.9,29.7,36.5,43.4,47.2
8/28/2019,34,20,20,25.2,30.5,37.8,45,49.1
8/28/2019,35,20,20,25.4,31.2,38.8,46.8,50.8
8/28/2019,36,20,20,25.7,32.1,40.3,48.7,52.9
8/28/2019,37,20,20,25.8,32,42.1,50.5,55
8/28/2019,38,20,20,26,33.8,43.5,52.4,56.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
