date,site,acc,col,rand,row,weight,t0,t1,t2,t3,t4,t5,survival,protocol,run_count,run_ID
8/21/2019,BF,24,9,0.544934531,B,0.0006,24,21.5,18.3,17.5,18.3,20.8,0,1,30,1
8/21/2019,BF,24,10,0.120574885,B,0.0022,24,22.2,18.7,18.3,19,21.5,1,1,30,1
8/21/2019,BF,24,11,0.640419134,B,0.002,24,22.3,19.1,19,20,22.2,1,1,30,1
8/21/2019,BF,24,12,0.937219191,C,0.0019,24,22.8,19.7,19.8,21,23,1,1,30,1
8/21/2019,BF,24,13,0.001357284,A,0.0016,24,23.4,20.3,20.6,21.9,24.4,1,1,30,1
8/21/2019,BF,24,14,0.92817571,C,0.0016,24,23.9,20.9,21.3,22.8,25.3,1,1,30,1
8/21/2019,BF,24,15,0.210371348,A,0.001,24,24.3,21.5,22,23.8,26.1,1,1,30,1
8/21/2019,BF,24,16,0.895332251,A,0.0011,24,24.7,21.9,22.8,24.6,27.2,1,1,30,1
8/21/2019,BF,24,17,0.979471341,C,0.0012,24,24.8,22.6,23.6,25.6,28.2,1,1,30,1
8/21/2019,BF,24,18,0.875581261,C,0.0013,24,25.2,23,24.3,26.5,29.2,1,1,30,1
8/21/2019,BF,24,19,0.346052024,B,0.001,24,25.5,23.6,25,27.3,30.2,1,1,30,1
8/21/2019,BF,24,20,0.52342931,B,0.0021,24,25.7,24.1,25.8,28.3,31.3,1,1,30,1
8/21/2019,BF,24,21,0.131921521,A,0.0019,24,25.9,24.5,26.5,29.3,32.3,1,1,30,1
8/21/2019,BF,24,22,0.922778767,B,0.0013,24,26,25,27.2,30.3,33.3,1,1,30,1
8/21/2019,BF,24,23,0.316323533,C,0.0012,24,26.3,25.5,27.9,31.3,34.6,1,1,30,1
8/21/2019,BF,24,24,0.167832656,A,0.0013,24,26.3,25.9,28.9,32.4,35.6,1,1,30,1
8/21/2019,BF,24,25,0.369873357,B,0.0016,24,26.6,26.4,29.7,33.5,37,1,1,30,1
8/21/2019,BF,24,26,0.09991543,A,0.001,24,26.7,27,30.6,34.6,38.3,0,1,30,1
8/21/2019,BF,24,27,0.587338811,B,0.0013,24,26.8,27.5,31.5,35.8,39.6,0,1,30,1
8/21/2019,BF,24,28,0.638561446,C,0.001,24,26.8,28,32,36.9,40.9,0,1,30,1
8/21/2019,BF,24,29,0.814921184,C,0.002,24,27,28.6,33.3,38.3,42.1,0,1,30,1
8/21/2019,BF,24,30,0.75637092,C,0.0019,24,27,29,34.1,39.5,43.8,0,1,30,1
8/21/2019,BF,24,31,0.063271877,A,0.0017,24,27.1,29.7,35.3,40.8,45,0,1,30,1
8/21/2019,BF,24,32,0.569785298,B,0.002,24,27.2,30.2,36.3,42.3,46.4,0,1,30,1
8/21/2019,BF,24,33,0.628061646,B,0.0008,24,27.3,30.9,37.4,43.6,47.9,0,1,30,1
8/21/2019,BF,24,34,0.721982751,B,0.0022,24,27.3,31.6,38.4,45.5,49.8,0,1,30,1
8/21/2019,BF,24,35,0.955238303,C,0.0015,24,27.5,32.3,39.7,47,51.6,0,1,30,1
8/21/2019,BF,24,36,0.32138244,B,0.0024,24,27.5,32.8,40.7,48.6,52.7,0,1,30,1
8/21/2019,BF,24,37,0.135213868,A,0.002,24,27.6,33.5,41.8,50.5,54.5,0,1,30,1
8/21/2019,BF,24,38,0.031104194,A,0.001,24,27.6,34.1,42.8,51.8,56.1,0,1,30,1
8/21/2019,GB,24,9,0.535825211,A,0.0023,24,21.5,18.3,17.5,18.3,20.8,1,1,20,2
8/21/2019,GB,24,10,0.058053594,A,0.0022,24,22.2,18.7,18.3,19,21.5,1,1,20,2
8/21/2019,GB,24,11,0.81109773,C,0.0014,24,22.3,19.1,19,20,22.2,1,1,20,2
8/21/2019,GB,24,12,0.733388911,B,0.0022,24,22.8,19.7,19.8,21,23,1,1,20,2
8/21/2019,GB,24,13,0.258296923,B,0.0011,24,23.4,20.3,20.6,21.9,24.4,1,1,20,2
8/21/2019,GB,24,14,0.313966768,B,0.0024,24,23.9,20.9,21.3,22.8,25.3,d,1,20,2
8/21/2019,GB,24,15,0.275365894,B,0.0011,24,24.3,21.5,22,23.8,26.1,d,1,20,2
8/21/2019,GB,24,16,0.900365835,B,0.0012,24,24.7,21.9,22.8,24.6,27.2,0,1,20,2
8/21/2019,GB,24,17,0.185308587,A,0.0008,24,24.8,22.6,23.6,25.6,28.2,0,1,20,2
8/21/2019,GB,24,18,0.601332516,B,0.0013,24,25.2,23,24.3,26.5,29.2,d,1,20,2
8/21/2019,GB,24,19,0.710612994,C,0.001,24,25.5,23.6,25,27.3,30.2,d,1,20,2
8/21/2019,GB,24,20,0.709102716,C,0.0014,24,25.7,24.1,25.8,28.3,31.3,1,1,20,2
8/21/2019,GB,24,21,0.737258778,C,0.0015,24,25.9,24.5,26.5,29.3,32.3,1,1,20,2
8/21/2019,GB,24,22,0.967226009,C,0.0021,24,26,25,27.2,30.3,33.3,1,1,20,2
8/21/2019,GB,24,23,0.199688464,B,0.0024,24,26.3,25.5,27.9,31.3,34.6,1,1,20,2
8/21/2019,GB,24,24,0.805585708,C,0.0019,24,26.3,25.9,28.9,32.4,35.6,0,1,20,2
8/21/2019,GB,24,25,0.739447139,C,0.0005,24,26.6,26.4,29.7,33.5,37,d,1,20,2
8/21/2019,GB,24,26,0.21628978,C,0.0012,24,26.7,27,30.6,34.6,38.3,0,1,20,2
8/21/2019,GB,24,27,0.222933849,A,0.0012,24,26.8,27.5,31.5,35.8,39.6,0,1,20,2
8/21/2019,GB,24,28,0.096213167,A,0.001,24,26.8,28,32,36.9,40.9,0,1,20,2
8/21/2019,GB,24,29,0.814558837,B,0.0012,24,27,28.6,33.3,38.3,42.1,d,1,20,2
8/21/2019,GB,24,30,0.108354724,A,0.0012,24,27,29,34.1,39.5,43.8,0,1,20,2
8/21/2019,GB,24,31,0.499420693,C,0.0017,24,27.1,29.7,35.3,40.8,45,0,1,20,2
8/21/2019,GB,24,32,0.779787611,C,0.0014,24,27.2,30.2,36.3,42.3,46.4,0,1,20,2
8/21/2019,GB,24,33,0.509138865,A,0.0011,24,27.3,30.9,37.4,43.6,47.9,0,1,20,2
8/21/2019,GB,24,34,0.925739211,C,0.0009,24,27.3,31.6,38.4,45.5,49.8,0,1,20,2
8/21/2019,GB,24,35,0.792548696,B,0.0007,24,27.5,32.3,39.7,47,51.6,d,1,20,2
8/21/2019,GB,24,36,0.762453586,C,0.0016,24,27.5,32.8,40.7,48.6,52.7,d,1,20,2
8/21/2019,GB,24,37,0.662456525,C,0.001,24,27.6,33.5,41.8,50.5,54.5,0,1,20,2
8/21/2019,GB,24,38,0.837129625,C,0.0027,24,27.6,34.1,42.8,51.8,56.1,0,1,20,2
8/21/2019,HM,24,9,0.758518481,C,0.0011,24,21.5,18.3,17.5,18.3,20.8,1,1,25,3
8/21/2019,HM,24,10,0.801286679,C,0.0016,24,22.2,18.7,18.3,19,21.5,1,1,25,3
8/21/2019,HM,24,11,0.600033236,A,0.0023,24,22.3,19.1,19,20,22.2,1,1,25,3
8/21/2019,HM,24,12,0.305078002,A,0.0014,24,22.8,19.7,19.8,21,23,1,1,25,3
8/21/2019,HM,24,13,0.554347899,C,0.0011,24,23.4,20.3,20.6,21.9,24.4,1,1,25,3
8/21/2019,HM,24,14,0.1779084,A,0.0016,24,23.9,20.9,21.3,22.8,25.3,1,1,25,3
8/21/2019,HM,24,15,0.866552193,C,0.001,24,24.3,21.5,22,23.8,26.1,1,1,25,3
8/21/2019,HM,24,16,0.941914988,C,0.0011,24,24.7,21.9,22.8,24.6,27.2,1,1,25,3
8/21/2019,HM,24,17,0.816999286,B,0.0017,24,24.8,22.6,23.6,25.6,28.2,1,1,25,3
8/21/2019,HM,24,18,0.102153291,A,0.0009,24,25.2,23,24.3,26.5,29.2,1,1,25,3
8/21/2019,HM,24,19,0.313694394,A,0.0009,24,25.5,23.6,25,27.3,30.2,1,1,25,3
8/21/2019,HM,24,20,0.109362754,A,0.001,24,25.7,24.1,25.8,28.3,31.3,1,1,25,3
8/21/2019,HM,24,21,0.498400863,B,0.0011,24,25.9,24.5,26.5,29.3,32.3,1,1,25,3
8/21/2019,HM,24,22,0.157810154,A,0.001,24,26,25,27.2,30.3,33.3,1,1,25,3
8/21/2019,HM,24,23,0.19769971,A,0.0011,24,26.3,25.5,27.9,31.3,34.6,1,1,25,3
8/21/2019,HM,24,24,0.283826015,B,0.0012,24,26.3,25.9,28.9,32.4,35.6,1,1,25,3
8/21/2019,HM,24,25,0.101695135,A,0.001,24,26.6,26.4,29.7,33.5,37,1,1,25,3
8/21/2019,HM,24,26,0.134667358,B,0.0008,24,26.7,27,30.6,34.6,38.3,d,1,25,3
8/21/2019,HM,24,27,0.725477436,C,0.0007,24,26.8,27.5,31.5,35.8,39.6,d,1,25,3
8/21/2019,HM,24,28,0.263641383,B,0.0006,24,26.8,28,32,36.9,40.9,d,1,25,3
8/21/2019,HM,24,29,0.147563464,A,0.0011,24,27,28.6,33.3,38.3,42.1,0,1,25,3
8/21/2019,HM,24,30,0.443777586,B,0.001,24,27,29,34.1,39.5,43.8,d,1,25,3
8/21/2019,HM,24,31,0.158721221,B,0.0011,24,27.1,29.7,35.3,40.8,45,0,1,25,3
8/21/2019,HM,24,32,0.162501025,A,0.0007,24,27.2,30.2,36.3,42.3,46.4,0,1,25,3
8/21/2019,HM,24,33,0.664950305,C,0.0016,24,27.3,30.9,37.4,43.6,47.9,0,1,25,3
8/21/2019,HM,24,34,0.079878806,A,0.0015,24,27.3,31.6,38.4,45.5,49.8,0,1,25,3
8/21/2019,HM,24,35,0.316344412,A,0.0012,24,27.5,32.3,39.7,47,51.6,0,1,25,3
8/21/2019,HM,24,36,0.08928845,A,0.0005,24,27.5,32.8,40.7,48.6,52.7,0,1,25,3
8/21/2019,HM,24,37,0.489696008,B,0.0016,24,27.6,33.5,41.8,50.5,54.5,0,1,25,3
8/21/2019,HM,24,38,0.081077409,B,0.001,24,27.6,34.1,42.8,51.8,56.1,d,1,25,3
8/23/2019,BF,24,9,0.021149,A,0.0013,24,22.3,17.2,15.6,16,17.8,1,1,30,4
8/23/2019,BF,24,10,0.110311,B,0.0016,24,22.8,18.2,16.2,17.1,18.4,1,1,30,4
8/23/2019,BF,24,11,0.219699,C,0.0009,24,23.3,18.8,17,17.9,19.5,1,1,30,4
8/23/2019,BF,24,12,0.859069,C,0.0011,24,23.8,19.3,17.9,18.9,20.5,1,1,30,4
8/23/2019,BF,24,13,0.625652,C,0.0011,24,24.3,19.9,18.9,19.9,21.7,1,1,30,4
8/23/2019,BF,24,14,0.038799,A,0.0008,24,24.6,20.6,19.7,20.8,22.8,1,1,30,4
8/23/2019,BF,24,15,0.795986,B,0.0025,24,24.9,21.3,20.4,21.8,23.8,1,1,30,4
8/23/2019,BF,24,16,0.546948,C,0.002,24,25.1,21.8,21.3,22.8,24.9,1,1,30,4
8/23/2019,BF,24,17,0.761566,C,0.0013,24,25.4,22.4,22,23.9,26,1,1,30,4
8/23/2019,BF,24,18,0.290201,A,0.0011,24,25.6,22.9,22.8,24.8,27.1,1,1,30,4
8/23/2019,BF,24,19,0.18225,A,0.0024,24,25.8,23.3,23.6,25.6,28.1,1,1,30,4
8/23/2019,BF,24,20,0.606563,B,0.0011,24,25.9,23.4,24.4,26.6,29.2,1,1,30,4
8/23/2019,BF,24,21,0.060368,A,0.0007,24,26.1,24.2,25.2,27.6,30.5,1,1,30,4
8/23/2019,BF,24,22,0.949281,C,0.001,24,26,24.8,25.9,29,31.6,1,1,30,4
8/23/2019,BF,24,23,0.736208,C,0.001,24,26.1,25.4,26.9,30,32.7,1,1,30,4
8/23/2019,BF,24,24,0.612062,B,0.0025,24,26.3,25.8,27.7,30.9,34.2,1,1,30,4
8/23/2019,BF,24,25,0.860203,B,0.0018,24,26.3,26.3,28.7,32.4,35.4,1,1,30,4
8/23/2019,BF,24,26,0.616095,B,0.0028,24,26.4,26.8,29.7,33.5,36.9,1,1,30,4
8/23/2019,BF,24,27,0.444873,B,0.0007,24,26.5,27.4,30.6,34.8,38.1,1,1,30,4
8/23/2019,BF,24,28,0.508652,C,0.0007,24,26.5,27.9,31.6,35.8,39.8,0,1,30,4
8/23/2019,BF,24,29,0.75984,C,0.0011,24,26.6,28.5,32.6,37.4,41.3,0,1,30,4
8/23/2019,BF,24,30,0.992639,C,0.0007,24,26.7,28.9,33.8,38.6,42.5,0,1,30,4
8/23/2019,BF,24,31,0.118033,A,0.0016,24,26.7,29.6,34.6,40.5,44,0,1,30,4
8/23/2019,BF,24,32,0.8276,C,0.0013,24,26.7,29.9,36,41.3,45.8,0,1,30,4
8/23/2019,BF,24,33,0.042114,A,0.0011,24,26.8,30.9,37.2,43.5,47.2,0,1,30,4
8/23/2019,BF,24,34,0.875177,C,0.0014,24,26.9,31.5,38,45.2,48.4,0,1,30,4
8/23/2019,BF,24,35,0.836051,C,0.0004,24,26.9,32.2,39.6,46.8,50.5,0,1,30,4
8/23/2019,BF,24,36,0.056014,A,0.0019,24,27,32.9,40.5,48.7,52.1,0,1,30,4
8/23/2019,BF,24,37,0.558012,A,0.0024,24,27.1,33.6,42.5,50.3,54.3,0,1,30,4
8/23/2019,BF,24,38,0.798843,B,0.0006,24,27.1,34,44.1,51.3,56.4,0,1,30,4
8/23/2019,GB,24,9,0.681672,C,,24,22.3,17.2,15.6,16,17.8,,1,6,5
8/23/2019,GB,24,10,0.641081,C,,24,22.8,18.2,16.2,17.1,18.4,,1,6,5
8/23/2019,GB,24,11,0.114236,A,,24,23.3,18.8,17,17.9,19.5,,1,6,5
8/23/2019,GB,24,12,0.03467,A,,24,23.8,19.3,17.9,18.9,20.5,,1,6,5
8/23/2019,GB,24,13,0.412521,B,,24,24.3,19.9,18.9,19.9,21.7,,1,6,5
8/23/2019,GB,24,14,0.51964,B,,24,24.6,20.6,19.7,20.8,22.8,,1,6,5
8/23/2019,GB,24,15,0.88419,C,,24,24.9,21.3,20.4,21.8,23.8,,1,6,5
8/23/2019,GB,24,16,0.430171,B,,24,25.1,21.8,21.3,22.8,24.9,,1,6,5
8/23/2019,GB,24,17,0.230383,A,,24,25.4,22.4,22,23.9,26,,1,6,5
8/23/2019,GB,24,18,0.424939,B,,24,25.6,22.9,22.8,24.8,27.1,,1,6,5
8/23/2019,GB,24,19,0.866839,C,,24,25.8,23.3,23.6,25.6,28.1,,1,6,5
8/23/2019,GB,24,20,0.663102,C,,24,25.9,23.4,24.4,26.6,29.2,,1,6,5
8/23/2019,GB,24,21,0.78644,C,,24,26.1,24.2,25.2,27.6,30.5,,1,6,5
8/23/2019,GB,24,22,0.84172,B,,24,26,24.8,25.9,29,31.6,,1,6,5
8/23/2019,GB,24,23,0.258476,A,0.0009,24,26.1,25.4,26.9,30,32.7,1,1,6,5
8/23/2019,GB,24,24,0.638441,C,0.0006,24,26.3,25.8,27.7,30.9,34.2,1,1,6,5
8/23/2019,GB,24,25,0.861443,C,0.0004,24,26.3,26.3,28.7,32.4,35.4,1,1,6,5
8/23/2019,GB,24,26,0.437267,A,0.0012,24,26.4,26.8,29.7,33.5,36.9,1,1,6,5
8/23/2019,GB,24,27,0.80681,C,0.0004,24,26.5,27.4,30.6,34.8,38.1,1,1,6,5
8/23/2019,GB,24,28,0.407041,B,0.001,24,26.5,27.9,31.6,35.8,39.8,0,1,6,5
8/23/2019,GB,24,29,0.031665,A,,24,26.6,28.5,32.6,37.4,41.3,,1,6,5
8/23/2019,GB,24,30,0.902849,B,,24,26.7,28.9,33.8,38.6,42.5,,1,6,5
8/23/2019,GB,24,31,0.664343,B,,24,26.7,29.6,34.6,40.5,44,,1,6,5
8/23/2019,GB,24,32,0.663791,A,,24,26.7,29.9,36,41.3,45.8,,1,6,5
8/23/2019,GB,24,33,0.448316,B,,24,26.8,30.9,37.2,43.5,47.2,,1,6,5
8/23/2019,GB,24,34,0.688894,B,,24,26.9,31.5,38,45.2,48.4,,1,6,5
8/23/2019,GB,24,35,0.424694,B,,24,26.9,32.2,39.6,46.8,50.5,,1,6,5
8/23/2019,GB,24,36,0.665818,B,,24,27,32.9,40.5,48.7,52.1,,1,6,5
8/23/2019,GB,24,37,0.89284,C,,24,27.1,33.6,42.5,50.3,54.3,,1,6,5
8/23/2019,GB,24,38,0.519917,A,,24,27.1,34,44.1,51.3,56.4,,1,6,5
8/23/2019,HM,24,9,0.50774,B,,24,22.3,17.2,15.6,16,17.8,,1,24,6
8/23/2019,HM,24,10,0.069611,A,,24,22.8,18.2,16.2,17.1,18.4,,1,24,6
8/23/2019,HM,24,11,0.119229,B,,24,23.3,18.8,17,17.9,19.5,,1,24,6
8/23/2019,HM,24,12,0.166791,B,,24,23.8,19.3,17.9,18.9,20.5,,1,24,6
8/23/2019,HM,24,13,0.272369,A,0.0012,24,24.3,19.9,18.9,19.9,21.7,1,1,24,6
8/23/2019,HM,24,14,0.826245,C,0.001,24,24.6,20.6,19.7,20.8,22.8,1,1,24,6
8/23/2019,HM,24,15,0.313748,A,0.0003,24,24.9,21.3,20.4,21.8,23.8,1,1,24,6
8/23/2019,HM,24,16,0.060413,A,0.0015,24,25.1,21.8,21.3,22.8,24.9,1,1,24,6
8/23/2019,HM,24,17,0.623014,B,0.0017,24,25.4,22.4,22,23.9,26,1,1,24,6
8/23/2019,HM,24,18,0.823155,C,0.0014,24,25.6,22.9,22.8,24.8,27.1,1,1,24,6
8/23/2019,HM,24,19,0.73541,B,0.0014,24,25.8,23.3,23.6,25.6,28.1,1,1,24,6
8/23/2019,HM,24,20,0.216987,A,0.0008,24,25.9,23.4,24.4,26.6,29.2,1,1,24,6
8/23/2019,HM,24,21,0.653402,B,0.0016,24,26.1,24.2,25.2,27.6,30.5,1,1,24,6
8/23/2019,HM,24,22,0.006586,A,0.0016,24,26,24.8,25.9,29,31.6,1,1,24,6
8/23/2019,HM,24,23,0.505613,B,0.0009,24,26.1,25.4,26.9,30,32.7,1,1,24,6
8/23/2019,HM,24,24,0.262013,A,0.0012,24,26.3,25.8,27.7,30.9,34.2,1,1,24,6
8/23/2019,HM,24,25,0.043346,A,0.0003,24,26.3,26.3,28.7,32.4,35.4,1,1,24,6
8/23/2019,HM,24,26,0.800115,C,0.0005,24,26.4,26.8,29.7,33.5,36.9,1,1,24,6
8/23/2019,HM,24,27,0.356943,A,0.0008,24,26.5,27.4,30.6,34.8,38.1,1,1,24,6
8/23/2019,HM,24,28,0.274401,A,0.0009,24,26.5,27.9,31.6,35.8,39.8,0,1,24,6
8/23/2019,HM,24,29,0.447074,B,0.0015,24,26.6,28.5,32.6,37.4,41.3,0,1,24,6
8/23/2019,HM,24,30,0.670835,A,0.0005,24,26.7,28.9,33.8,38.6,42.5,0,1,24,6
8/23/2019,HM,24,31,0.979656,C,0.0013,24,26.7,29.6,34.6,40.5,44,0,1,24,6
8/23/2019,HM,24,32,0.804737,B,0.001,24,26.7,29.9,36,41.3,45.8,0,1,24,6
8/23/2019,HM,24,33,0.758421,C,0.0006,24,26.8,30.9,37.2,43.5,47.2,0,1,24,6
8/23/2019,HM,24,34,0.577166,A,0.001,24,26.9,31.5,38,45.2,48.4,0,1,24,6
8/23/2019,HM,24,35,0.216682,A,0.0009,24,26.9,32.2,39.6,46.8,50.5,0,1,24,6
8/23/2019,HM,24,36,0.686417,C,0.0017,24,27,32.9,40.5,48.7,52.1,0,1,24,6
8/23/2019,HM,24,37,0.674136,B,,24,27.1,33.6,42.5,50.3,54.3,,1,24,6
8/23/2019,HM,24,38,0.976442,C,,24,27.1,34,44.1,51.3,56.4,,1,24,6
8/24/2019,TO,24,9,0.442468381,A,0.0005,24,20.9,16.4,15.7,15.9,17.2,1,1,30,7
8/24/2019,TO,24,10,0.528825853,B,0.0015,24,21.3,17.6,15.8,16.5,18.5,1,1,30,7
8/24/2019,TO,24,11,0.983556764,C,0.0004,24,21.9,18,16.6,17.7,19.4,1,1,30,7
8/24/2019,TO,24,12,0.247596372,A,0.0006,24,22.3,18.6,17.8,18.6,20.5,1,1,30,7
8/24/2019,TO,24,13,0.291400312,B,0.0008,24,22.7,19.4,18.4,19.5,21.6,1,1,30,7
8/24/2019,TO,24,14,0.484406417,C,0.0018,24,23.1,19.9,19.2,20.6,22.6,1,1,30,7
8/24/2019,TO,24,15,0.505881934,C,0.0008,24,23.4,20.5,20,21.5,23.8,1,1,30,7
8/24/2019,TO,24,16,0.910955971,C,0.0007,24,23.6,21.2,20.7,22.5,24.9,1,1,30,7
8/24/2019,TO,24,17,0.340446476,A,0.0016,24,23.9,21.7,21.8,23.4,26,1,1,30,7
8/24/2019,TO,24,18,0.346902383,A,0.0015,24,24.1,22.2,22.4,24.5,27.3,1,1,30,7
8/24/2019,TO,24,19,0.931502898,B,0.0023,24,24.3,22.8,23.3,25.4,28.3,1,1,30,7
8/24/2019,TO,24,20,0.735072241,C,0.0006,24,24.3,23.2,24.1,26.3,29.6,1,1,30,7
8/24/2019,TO,24,21,0.18427594,A,0.0008,24,24.6,23.7,24.9,27.5,30.6,1,1,30,7
8/24/2019,TO,24,22,0.0794587,A,0.0008,24,24.6,24.3,25.8,28.3,31.9,1,1,30,7
8/24/2019,TO,24,23,0.838128663,C,0.0013,24,24.8,24.8,26.6,29.5,33,1,1,30,7
8/24/2019,TO,24,24,0.925621383,B,0.0023,24,24.9,25.3,27.5,30.9,34.3,1,1,30,7
8/24/2019,TO,24,25,0.831054654,C,0.0007,24,25,25.9,28.5,31.9,35.2,1,1,30,7
8/24/2019,TO,24,26,0.042238648,A,0.0023,24,25.1,26.4,29,33.2,36.8,1,1,30,7
8/24/2019,TO,24,27,0.093210116,A,0.0022,24,25.3,26.9,30.2,34.5,38.4,1,1,30,7
8/24/2019,TO,24,28,0.275971197,A,0.001,24,25.3,27.5,31.2,35.8,39.4,0,1,30,7
8/24/2019,TO,24,29,0.911387761,C,0.0006,24,25.5,28.1,31.9,36.8,41.3,0,1,30,7
8/24/2019,TO,24,30,0.897088145,C,0.0005,24,25.6,28.5,33.1,38.5,42.5,0,1,30,7
8/24/2019,TO,24,31,0.62584317,B,0.0016,24,25.7,29.1,34.3,40.1,44.3,0,1,30,7
8/24/2019,TO,24,32,0.236739839,B,0.0005,24,25.8,29.9,35.7,41.7,45.6,0,1,30,7
8/24/2019,TO,24,33,0.310138628,B,0.003,24,26,30.6,36.8,43.5,47.3,0,1,30,7
8/24/2019,TO,24,34,0.32617819,A,0.0028,24,26.1,31.4,37.8,44.9,49.3,0,1,30,7
